"small","num","big"
"Biological, Agricultural, and Environmental Sciences","1100","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1101","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1102","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1103","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1104","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1105","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1106","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1199","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1301","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1302","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","1303","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3600","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3601","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3602","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3603","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3604","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3605","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3606","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3607","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3608","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3609","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3610","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3611","Science and Engineering Group"
"Biological, Agricultural, and Environmental Sciences","3699","Science and Engineering Group"
"Business","3201","Business"
"Business","6101","Business"
"Business","6200","Business"
"Business","6201","Business"
"Business","6202","Business"
"Business","6203","Business"
"Business","6204","Business"
"Business","6205","Business"
"Business","6206","Business"
"Business","6207","Business"
"Business","6208","Business"
"Business","6209","Business"
"Business","6210","Business"
"Business","6211","Business"
"Business","6212","Business"
"Business","6299","Business"
"Communications","1901","Arts, Humanities, and Other"
"Communications","1902","Arts, Humanities, and Other"
"Communications","1903","Arts, Humanities, and Other"
"Communications","1904","Arts, Humanities, and Other"
"Communications","2001","Arts, Humanities, and Other"
"Computers, Mathematics and Statistics","2100","Science and Engineering Group"
"Computers, Mathematics and Statistics","2102","Science and Engineering Group"
"Computers, Mathematics and Statistics","2103","Science and Engineering Group"
"Computers, Mathematics and Statistics","2105","Science and Engineering Group"
"Computers, Mathematics and Statistics","2106","Science and Engineering Group"
"Computers, Mathematics and Statistics","2107","Science and Engineering Group"
"Computers, Mathematics and Statistics","2199","Science and Engineering Group"
"Computers, Mathematics and Statistics","3700","Science and Engineering Group"
"Computers, Mathematics and Statistics","3701","Science and Engineering Group"
"Computers, Mathematics and Statistics","3702","Science and Engineering Group"
"Computers, Mathematics and Statistics","3705","Science and Engineering Group"
"Computers, Mathematics and Statistics","3799","Science and Engineering Group"
"Education","2300","Education"
"Education","2301","Education"
"Education","2303","Education"
"Education","2304","Education"
"Education","2306","Education"
"Education","2307","Education"
"Education","2309","Education"
"Education","2310","Education"
"Education","2311","Education"
"Education","2312","Education"
"Education","2313","Education"
"Education","2314","Education"
"Education","2399","Education"
"Engineering","2400","Science and Engineering Group"
"Engineering","2401","Science and Engineering Group"
"Engineering","2402","Science and Engineering Group"
"Engineering","2403","Science and Engineering Group"
"Engineering","2404","Science and Engineering Group"
"Engineering","2405","Science and Engineering Group"
"Engineering","2406","Science and Engineering Group"
"Engineering","2407","Science and Engineering Group"
"Engineering","2408","Science and Engineering Group"
"Engineering","2409","Science and Engineering Group"
"Engineering","2410","Science and Engineering Group"
"Engineering","2411","Science and Engineering Group"
"Engineering","2412","Science and Engineering Group"
"Engineering","2413","Science and Engineering Group"
"Engineering","2414","Science and Engineering Group"
"Engineering","2415","Science and Engineering Group"
"Engineering","2416","Science and Engineering Group"
"Engineering","2417","Science and Engineering Group"
"Engineering","2418","Science and Engineering Group"
"Engineering","2419","Science and Engineering Group"
"Engineering","2420","Science and Engineering Group"
"Engineering","2499","Science and Engineering Group"
"Liberal Arts and History","3401","Arts, Humanities, and Other"
"Liberal Arts and History","3402","Arts, Humanities, and Other"
"Liberal Arts and History","4801","Arts, Humanities, and Other"
"Liberal Arts and History","4901","Arts, Humanities, and Other"
"Liberal Arts and History","6402","Arts, Humanities, and Other"
"Liberal Arts and History","6403","Arts, Humanities, and Other"
"Literature and Languages","2601","Arts, Humanities, and Other"
"Literature and Languages","2602","Arts, Humanities, and Other"
"Literature and Languages","2603","Arts, Humanities, and Other"
"Literature and Languages","3301","Arts, Humanities, and Other"
"Literature and Languages","3302","Arts, Humanities, and Other"
"Multidisciplinary Studies","4000","Science and Engineering Group"
"Multidisciplinary Studies","4001","Science and Engineering Group"
"Multidisciplinary Studies","4002","Science and Engineering Group"
"Multidisciplinary Studies","4004","Science and Engineering Group"
"Multidisciplinary Studies","4005","Science and Engineering Group"
"Multidisciplinary Studies","4006","Science and Engineering Group"
"Multidisciplinary Studies","4007","Science and Engineering Group"
"Other","2201","Arts, Humanities, and Other"
"Other","2901","Arts, Humanities, and Other"
"Other","3202","Arts, Humanities, and Other"
"Other","3501","Arts, Humanities, and Other"
"Other","3801","Arts, Humanities, and Other"
"Other","4101","Arts, Humanities, and Other"
"Other","5301","Arts, Humanities, and Other"
"Other","5401","Arts, Humanities, and Other"
"Other","5402","Arts, Humanities, and Other"
"Other","5403","Arts, Humanities, and Other"
"Other","5404","Arts, Humanities, and Other"
"Other","5601","Arts, Humanities, and Other"
"Other","5701","Arts, Humanities, and Other"
"Other","5801","Arts, Humanities, and Other"
"Other","5901","Arts, Humanities, and Other"
"Physical and Related Science","5000","Science and Engineering Group"
"Physical and Related Science","5001","Science and Engineering Group"
"Physical and Related Science","5002","Science and Engineering Group"
"Physical and Related Science","5003","Science and Engineering Group"
"Physical and Related Science","5004","Science and Engineering Group"
"Physical and Related Science","5005","Science and Engineering Group"
"Physical and Related Science","5006","Science and Engineering Group"
"Physical and Related Science","5007","Science and Engineering Group"
"Physical and Related Science","5008","Science and Engineering Group"
"Physical and Related Science","5098","Science and Engineering Group"
"Physical and Related Science","5099","Science and Engineering Group"
"Psychology","5200","Science and Engineering Group"
"Psychology","5201","Science and Engineering Group"
"Psychology","5202","Science and Engineering Group"
"Psychology","5203","Science and Engineering Group"
"Psychology","5204","Science and Engineering Group"
"Psychology","5205","Science and Engineering Group"
"Psychology","5206","Science and Engineering Group"
"Psychology","5299","Science and Engineering Group"
"Science and Engineering Related Fields","1401","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2101","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2104","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2302","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2305","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2308","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2500","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2501","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2502","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2503","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2504","Science and Engineering Related Fields"
"Science and Engineering Related Fields","2599","Science and Engineering Related Fields"
"Science and Engineering Related Fields","5101","Science and Engineering Related Fields"
"Science and Engineering Related Fields","5102","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6100","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6102","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6103","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6104","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6105","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6106","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6107","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6108","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6109","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6110","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6111","Science and Engineering Related Fields"
"Science and Engineering Related Fields","6199","Science and Engineering Related Fields"
"Social Science","1501","Science and Engineering Group"
"Social Science","5500","Science and Engineering Group"
"Social Science","5501","Science and Engineering Group"
"Social Science","5502","Science and Engineering Group"
"Social Science","5503","Science and Engineering Group"
"Social Science","5504","Science and Engineering Group"
"Social Science","5505","Science and Engineering Group"
"Social Science","5506","Science and Engineering Group"
"Social Science","5507","Science and Engineering Group"
"Social Science","5599","Science and Engineering Group"
"Social Science","6401","Science and Engineering Group"
"Visual and Performing Arts","6000","Arts, Humanities, and Other"
"Visual and Performing Arts","6001","Arts, Humanities, and Other"
"Visual and Performing Arts","6002","Arts, Humanities, and Other"
"Visual and Performing Arts","6003","Arts, Humanities, and Other"
"Visual and Performing Arts","6004","Arts, Humanities, and Other"
"Visual and Performing Arts","6005","Arts, Humanities, and Other"
"Visual and Performing Arts","6006","Arts, Humanities, and Other"
"Visual and Performing Arts","6007","Arts, Humanities, and Other"
"Visual and Performing Arts","6008","Arts, Humanities, and Other"
"Visual and Performing Arts","6099","Arts, Humanities, and Other"
